,show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type
2,81213894,The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",India,"November 30, 2019",2019,TV-14,135 min,"Comedies, Dramas, International Movies","A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",Movie
24,81194544,Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,"November 27, 2019",2019,TV-14,134 min,"Comedies, International Movies, Romantic Movies","When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",Movie
34,81215481,Pranaam,Sanjiv Jaiswal,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,"November 25, 2019",2019,TV-MA,117 min,"Action & Adventure, Dramas, International Movies","Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",Movie
69,81217738,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,"November 20, 2019",2019,TV-14,134 min,"Dramas, International Movies, Romantic Movies",A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,Movie
78,81217739,Mallesham,Raj R,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,"November 20, 2019",2019,TV-PG,131 min,"Dramas, Independent Movies, International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",Movie
110,81217737,Guna 369,Arjun Jandyala,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",India,"November 15, 2019",2019,TV-MA,143 min,"Action & Adventure, Dramas, International Movies",A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.,Movie
111,81076114,House Arrest,"Shashanka Ghosh, Samit Basu","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",India,"November 15, 2019",2019,TV-14,105 min,"Comedies, Independent Movies, International Movies",A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,Movie
142,81011159,Little Things,,"Dhruv Sehgal, Mithila Palkar",India,,2019,TV-MA,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",TV Show
151,80127886,U Turn,Pawan Kumar,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza",India,"November 7, 2019",2016,TV-14,121 min,"International Movies, Thrillers",A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.,Movie
172,81206389,Oththa Seruppu Size 7,Parthiban,Parthiban,India,"November 4, 2019",2019,TV-MA,103 min,"Dramas, International Movies, Thrillers","Taken into custody, a murder suspect's theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he’s accused of.",Movie
212,81189912,Drive,Tarun Mansukhani,"Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,"November 1, 2019",2019,TV-14,119 min,"Action & Adventure, International Movies","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Movie
301,81177371,Mehandi Circus,Saravana Rajendran,"Madhampatti Rangaraj, Shweta Tripathi, Vela Ramamoorthy, Ankur Vikal, G. Marimuthu, Sunny Charles",India,"October 30, 2019",2019,TV-14,126 min,"Dramas, International Movies, Romantic Movies","In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",Movie
361,81020066,Mighty Little Bheem: Diwali,,"Samriddhi Shukla, Nishka Raheja, Arannya Kaur, Shanoor Mirza, Rajesh Kava",India,"October 18, 2019",2019,TV-Y,1 Season,"Kids' TV, TV Comedies","From decorating his home to devouring sweets, join Bheem as he makes merry – and a bit of mischief – while the festival of lights is in full swing.",TV Show
373,80998890,Upstarts,Udai Singh Pawar,"Priyanshu Painyuli, Chandrachoor Rai, Shadab Kamal, Rajeev Siddhartha, Sheetal Thakur, Ninad Kamat, Swati Semwal, Eijaz Khan",India,"October 18, 2019",2019,TV-14,112 min,"Comedies, Dramas, International Movies","Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray.",Movie
417,81177367,Noblemen,Vandana Kataria,"Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues",India,"October 5, 2019",2019,TV-MA,109 min,"Dramas, Independent Movies, International Movies","When he lands the lead in his Christian school's production of ""The Merchant of Venice,"" a secretly gay student is bullied by wealthy upperclassmen.",Movie
456,81113888,College Romance,,"Manjot Singh, Apoorva Arora, Keshav Sadhna, Shreya Mehta, Hira Ashar, Gagan Arora",India,"October 1, 2019",2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Three best friends look for love, laughs and some lifelong memories while attending college together.",TV Show
460,81113890,Engineering Girls,,"Barkha Singh, Kritika Avasthi, Sejal Kumar",India,"October 1, 2019",2018,TV-14,1 Season,"International TV Shows, TV Comedies","Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true.",TV Show
